year,page,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,1,26.8,20.8,22.0,28.8,16.8,15.7,12.0,16.8,21.0,15.7,17.0,19.5
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,2,22.0,22.6,20.6,23.5,20.5,12.0,14.4,16.7,20.5,24.4,19.8,19.0
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,3,26.5,23.1,26.5,17.3,23.0,11.6,15.6,15.8,14.3,24.9,27.4,22.2
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,4,20.8,22.1,34.5,18.8,23.0,12.0,13.1,14.3,14.5,13.7,33.8,19.0
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,5,21.6,23.4,33.4,20.4,19.1,13.3,11.2,18.3,18.9,15.3,36.0,19.5
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,6,29.4,35.7,30.6,22.4,16.0,13.3,14.0,14.3,12.0,22.6,38.6,25.2
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,7,21.0,40.0,29.6,20.7,15.3,13.5,14.0,15.3,15.8,22.5,24.7,19.0
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,8,25.0,39.1,25.5,20.7,15.9,12.4,12.6,19.9,17.8,15.4,25.6,18.6
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,9,24.9,22.2,18.7,26.4,14.6,15.6,13.4,20.1,10.7,13.8,24.3,15.8
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,10,38.2,26.3,21.3,21.9,18.3,16.1,15.2,19.4,14.8,15.4,17.7,19.3
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,11,40.8,23.5,21.4,22.0,14.9,15.5,13.4,19.0,12.9,19.1,18.6,21.2
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,12,25.5,31.0,22.2,25.2,15.4,17.2,11.5,16.4,13.2,26.9,21.5,33.1
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,13,21.1,37.3,31.2,28.5,14.4,14.4,13.2,13.6,14.2,20.0,26.9,36.3
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,14,22.0,40.2,32.0,31.0,15.9,14.1,11.6,17.6,13.8,15.0,25.5,24.5
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,15,27.4,39.6,33.4,29.4,15.8,13.1,10.5,14.0,24.6,15.4,26.9,24.1
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,16,36.2,26.0,25.5,18.2,17.5,16.0,10.2,12.6,24.0,15.6,20.6,25.9
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,17,27.1,27.7,19.0,16.2,23.0,12.9,11.6,13.2,23.3,15.5,21.8,25.5
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,18,30.0,23.6,19.5,18.7,23.4,13.5,9.5,18.7,15.4,22.3,17.9,19.1
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,19,37.0,22.5,22.2,18.5,18.3,14.6,10.5,19.7,13.9,17.7,22.7,19.1
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,20,40.8,26.5,30.6,20.6,16.0,12.5,11.0,22.7,14.5,15.5,20.5,19.3
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,21,27.7,21.2,32.4,20.9,12.1,10.3,11.4,19.7,17.1,14.5,20.6,20.0
